Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,from Open,Gap
ATLC,0.97,2.12,0.005600000000000001,0.0849,0.7908,-0.1521,4.766,54.6,28.83,0.0319,0.016
ATSG,0.77,1.1,0.0137,0.002,0.07429999999999999,-0.1255,1.1484999999999999,53.51,28.36,0.0118,0.0163
AVNT,1.66,2.14,0.0745,0.1069,0.4457,-0.035699999999999996,4.4047,61.92,46.94,0.0171,0.0212
AVY,1.0,5.64,0.011000000000000001,0.081,0.303,-0.024399999999999998,1.3034000000000001,56.68,177.27,0.0134,0.0159
AX,1.8,1.69,0.049100000000000005,0.1344,0.607,-0.0316,2.4951,64.01,47.83,-0.0019,0.0187
AXGN,0.79,1.24,-0.0101,0.0548,0.45630000000000004,-0.1131,1.8352000000000002,50.3,20.3,0.012,0.006500000000000001
AZO,0.89,36.31,0.0269,0.0175,0.042800000000000005,-0.059800000000000006,0.7816,57.73,1220.25,0.0388,0.0053
BANC,1.92,0.72,0.024399999999999998,0.10619999999999999,0.4817,-0.028999999999999998,2.0155000000000003,60.3,19.42,-0.012199999999999999,0.026600000000000002
BC,1.87,4.01,0.0263,0.067,0.32030000000000003,-0.0231,2.6914999999999996,56.27,93.1,0.025699999999999997,0.0226
BCC,2.06,2.49,0.042,0.0584,0.2376,-0.0254,1.7364,55.83,52.99,0.0337,0.0223
BCOV,0.95,1.35,-0.019,0.0904,0.6073,-0.171,2.8493,50.57,20.94,-0.0113,-0.0158
BCPC,0.56,3.75,0.039900000000000005,0.046,0.1825,-0.068,0.5771000000000001,60.59,123.49,0.0023,0.0123
BCRX,2.81,1.05,0.04650000000000001,0.19760000000000003,0.9440000000000001,-0.13570000000000002,6.057,55.19,11.15,0.0109,0.0101
BEN,1.27,1.03,-0.0181,0.0060999999999999995,0.1728,-0.0742,0.7753,48.57,26.47,0.02,0.0129
BERY,1.37,1.6,0.024300000000000002,0.0703,0.1592,-0.0362,1.3516,61.49,58.79,0.009399999999999999,0.0070999999999999995
BFST,,0.85,0.0652,0.1038,0.3704,-0.0004,1.5791,63.43,23.65,0.0216,0.0092
BG,0.72,2.84,0.0175,0.0928,0.435,-0.0405,1.68,57.38,77.72,0.0049,0.0168
BGFV,2.75,1.38,-0.11349999999999999,0.0089,0.7212999999999999,-0.20420000000000002,19.3,44.65,13.19,0.026000000000000002,0.014199999999999999
BKE,1.17,1.93,-0.0348,0.0604,0.5972999999999999,-0.1133,2.4034999999999997,49.84,37.56,0.0078000000000000005,0.0078000000000000005
BKH,0.34,1.6,0.0276,0.0339,0.0625,-0.2279,0.3012,59.15,62.55,0.0339,0.01
BLDR,2.57,2.01,0.0265,0.0528,0.3651,-0.052300000000000006,3.8356,55.82,43.52,0.0182,0.009899999999999999
BOMN,0.57,3.54,-0.0931,0.1561,0.8029999999999999,-0.22519999999999998,1.9650999999999998,47.89,38.68,-0.030299999999999997,0.003
BOX,1.27,0.89,-0.0025,0.0111,0.0184,-0.1598,1.1481000000000001,50.76,18.56,0.0109,0.008199999999999999
BRO,0.68,1.12,0.011200000000000002,0.004,0.028999999999999998,-0.0558,0.4997,51.74,46.04,0.015700000000000002,0.0089
BRT,1.27,0.83,0.0711,0.1084,0.3094,-0.0848,1.8233000000000001,62.11,16.94,-0.0034999999999999996,-0.0029
BWA,1.63,1.77,0.1018,0.1595,0.2582,0.009300000000000001,1.8729,68.86,48.84,0.041100000000000005,0.0086
BWB,,0.64,0.1718,0.2727,0.5604,0.0174,1.1926999999999999,79.31,17.52,0.016200000000000003,0.0256
BWXT,0.99,1.74,0.0223,0.020099999999999996,0.0383,-0.0892,0.479,54.3,59.75,0.0212,0.008100000000000001
BZUN,1.09,3.8,-0.09820000000000001,0.071,0.1576,-0.2163,1.0131000000000001,46.33,44.67,0.0095,0.0073
CALX,1.53,2.58,0.0496,0.1375,0.6706,-0.1051,5.939400000000001,56.48,38.93,-0.0458,0.0233
CAMT,1.59,1.86,-0.0689,0.0462,0.44,-0.1369,3.1868,46.95,26.23,-0.0187,0.023
CAPL,2.13,0.62,-0.0137,0.0098,0.1344,-0.0652,1.652,49.95,18.06,-0.0115,0.0173
CATC,0.5,2.97,0.0674,0.1032,0.3173,0.0036,0.879,63.91,83.05,0.0252,0.005
CB,0.71,4.11,0.0358,0.08800000000000001,0.251,0.0001,0.9653,63.9,171.67,0.0195,0.0144
CBD,1.06,0.75,0.055,0.14,0.2867,-0.0104,0.8158,62.88,17.05,-0.0235,0.0461
CBOE,,3.94,0.0955,0.1008,0.1393,-0.1358,0.4531,63.62,104.64,0.0722,-0.0064
CCAP,,0.65,0.042800000000000005,0.0843,0.24850000000000003,-0.0697,1.7294999999999998,59.39,16.95,-0.0111,0.0029
CCCC,,3.58,-0.0213,0.0694,0.2511,-0.15,0.8584999999999999,52.12,41.63,0.0489,0.0159
CCEP,0.81,1.64,0.0217,0.0638,0.23120000000000002,-0.0274,0.8656,57.65,52.89,0.03,0.012
CCNE,1.0,0.94,0.0583,0.102,0.3246,-0.0048,0.8868,62.27,25.0,0.022099999999999998,0.0175
CCS,1.9,3.51,0.0072,0.1402,0.4061,-0.08869999999999999,5.3949,56.02,57.81,0.0383,0.0138
CE,1.23,4.17,0.0955,0.11869999999999999,0.3084,0.0182,1.8056999999999999,72.13,147.86,0.029900000000000003,0.0126
